prerequisites,course,description,unit,title
None,AMER IND 320,"
A study of the literature and cultural expression of peoples indigenous to the Great Lakes of North America. Close critical examination of formal aesthetics, literary history, and contemporary issues in oral tradition, autobiography, drama, poetry, novel, and film. Enroll Info: None",3 ,INDIGENOUS LITERATURE OF THE GREAT LAKES
None,AMER IND 325,"
",3 , 
None,AMER IND/​ENVIR ST/​GEOG  345,"
A study of American Indian oral literature including literature from Wisconsin tribes or from other regions such as Southwest or Great Plains. Emphasizes Native American storytellers. Enroll Info: None",3 ,AMERICAN INDIAN ORAL LITERATURES
None,AMER IND/​ANTHRO  353,"
",3 , 
None,AMER IND/​ANTHRO  354,"
Introduction to the Ojibwe language, spoken and written, with emphasis on oral tradition and extensive study of grammar. Enroll Info: None",3 ,FIRST SEMESTER OJIBWE
None,AMER IND/​ART HIST  359,"
",3 ,SECOND SEMESTER OJIBWE
None,AMER IND/​LINGUIS  371,"
Continuation of Ojibwe language study, with an emphasis on traditional winter cycle myths. Enroll Info: ",3 , 
None,AMER IND 401,. Open to Fr,3 ,INDIGENOUS PEOPLES AND THE ENVIRONMENT
None,AMER IND 402,"
",3 , 
None,AMER IND/​ANTHRO/​FOLKLORE  431,"
Indigenous peoples often have very close relationships to ancestral homelands, species and natural resources. However, definitions of ""indigenous"" can be controversial and highly politicized. Diverse outlooks on identities, worldviews and environmental governance clarify the complex meanings of indigeneity in the US. This course highlights Native American perspectives, conservation practices, and policy environments through consideration of US and international case studies. Native American experiences shed light on pressing issues of resource sustainability and sovereignty, and demonstrate linkages to global Indigenous environmental issues and strategies. Enroll Info: None",3 ,INDIANS OF NORTH AMERICA
None,AMER IND/​ANTHRO/​FOLKLORE/​GEN&WS  437,"
",3 , 
ACCT IS 700,ACCT IS 725,"
Analysis and interpretation of financial statements, including profitability and ratio analysis, cash flow analysis, accounting-based equity valuation, market impact of accounting choices, earnings quality, earnings management, mergers and acquisitions, intangibles, accounting-based trading strategies, accounting and credit ratings, and international accounting. Enroll Info: None",3 ,RESEARCH AND ADMINISTRATIVE ISSUES IN TAXATION
ACCT IS 620,ACCT IS 726,"
",3 ,TAXATION OF CROSS-JURISDICTIONAL TRANSACTIONS
ACCT IS 620,ACCT IS 730,"
Application of federal tax provisions and administrative rules common to most taxpayers with introductions to rules specific to corporations, pass-through entities, and individuals. Enroll Info: None",3 ,ADVANCED CORPORATE TAXATION
ACCT IS 620,ACCT IS 765,"
",1-4 ,ADVANCED ASSURANCE SERVICES
ACCT IS 620,ACCT IS 770,"
Application of federal tax provisions and administrative rules pertaining to corporations and shareholders, including elective provisions for ""S"" corporations. Emphasis on tax planning and the consequences of corporate and shareholder decisions. Enroll Info: None",3 ,CONTEMPORARY TOPICS
621,ACCT IS 771,"
",3 ,SEMINAR IN FINANCIAL REPORTING THEORY
ACCT IS 630,ACCT IS 772,"
Evolution of assurance services; role of assurance services as part of corporate governance; professional standards and ethical concepts; evidence concepts and evaluation of evidence, business and information technology risk analysis, the audit risk model, assurance reports, and development of audit and assurance programs. Enroll Info: None",3 ,SEMINAR IN STRATEGIC COST MANAGEMENT AND PERFORMANCE MEASUREMENT
ACCT IS 340,ACCT IS/​E P D/​GEN BUS  781,"
",1 credit.,SEMINAR IN CURRENT TAXATION TOPICS
ACCT IS 302,ACCT IS 799,"
Measurement and reporting guidelines underlying preparation of general purpose financial statements; current measurement and reporting issues; analysis and interpretation of financial statement data for investment, lending, and related decisions. Enroll Info: None",1-6 ,FINANCIAL AND BUSINESS ACUMEN
702,ACCT IS 971,"
",3 ,READING AND RESEARCH-ACCOUNTING
None,ACCT IS 990,"
Examines current and emerging financial accounting theory and techniques used to measure and report financial information to investors, creditors, and other external users. Emphasizes asset and liability valuations and their relationships to income determination, preparation and interpretation of financial statements, and related disclosure requirements. Enroll Info: None",1-12 ,SEMINAR IN ACCOUNTING RESEARCH
None,ACCT IS 999,"
",1-6 ,ACCOUNTING INDEPENDENT RESEARCH PHD THESIS
ZOOLOGY/​BIOLOGY  102,AGRONOMY/​HORT  502,"
",1 credit.,TECHNIQUES OF PLANT BREEDING
CHEM 104,AGRONOMY/​ATM OCN/​SOIL SCI  532,"
Theoretical and practical training in plant cell and tissue culture, and plant genetic engineering. Includes overview of current techniques, biosafety and regulatory requirements, and experimental design and analysis used in fundamental and applied research on plants. Valuable hands-on training to those interested in careers in biotechnology. Enroll Info: None",3 ,ENVIRONMENTAL BIOPHYSICS
109,AGRONOMY/​C&E SOC/​MED HIST/​PHILOS  565,"
",3-4 ,THE ETHICS OF MODERN BIOTECHNOLOGY
116,AGRONOMY/​AN SCI/​GENETICS/​HORT  615,"
Hunger and poverty in developing countries and the United States. Topics include: nutrition and health, population, food production and availability, and income distribution and employment. Enroll Info: None",3 ,GENETIC MAPPING
ZOOLOGY/​BIOLOGY  101,AGRONOMY/​ENTOM/​F&W ECOL/​M&ENVTOX  632,"
",1 credit.,ECOTOXICOLOGY: THE CHEMICAL PLAYERS
BOTANY/​BIOLOGY  130,AGRONOMY/​ENTOM/​F&W ECOL/​M&ENVTOX  633,"
Provides students with information necessary to diagnosis and monitor corn, soybean, alfalfa and wheat for pests (insects, weeds, diseases) and nutrient deficiency symptoms including perspectives from Agronomy, Entomology, Horticulture, Plant Pathology and Soil Science. Proper soil and pest sampling information will be provided as will proper cropstaging techniques which are essential for pest and nutrient management. Enroll Info: None",1 credit.,ECOTOXICOLOGY: IMPACTS ON INDIVIDUALS
ZOOLOGY/​BIOLOGY/​BOTANY  151,AGRONOMY/​ENTOM/​F&W ECOL/​M&ENVTOX  634,"
",1 credit.,"ECOTOXICOLOGY: IMPACTS ON POPULATIONS, COMMUNITIES AND ECOSYSTEMS"
BIOCORE 381,AGRONOMY 681,"
Explores how and why genetically modified (GM) crops are created and their regulation at the federal and state level. Through case studies, students will learn about the impacts of GM crops and critically evaluate arguments both for and against their use. Readings and discussion introduce students to the complex economic, cultural, and political issues surrounding GM crops. Enroll Info: None",2-4 ,SENIOR HONORS THESIS
GENETICS 466,AGRONOMY 682,"
",2-4 ,SENIOR HONORS THESIS
GENETICS 467,AGRONOMY 699,"
Understand factors driving global, continental, regional, and local distribution of grasslands. Discuss how management affects provision of grassland ecosystem goods and services. Compare and contrast plant community and ecosystem dynamics in native prairie and intensively managed pastures. Enroll Info: None",1-4 ,SPECIAL PROBLEMS
PL PATH/​BOTANY  123,AGRONOMY/​AGROECOL/​ENVIR ST  724,"
",3 ,AGROECOSYSTEMS AND GLOBAL CHANGE
BOTANY/​BIOLOGY  130,AGRONOMY 771,"
For those interested in developing a comprehensive understanding of the principles, practices, and conservation potential of managed grazing systems, and how these farming systems may contribute to the sustainability and diverse tapestry of Wisconsin's working landscape. Visit managed grazing systems of successful grazing-based farmers (graziers) across southern/central counties in Wisconsin, and/or research sites at UW's Arlington and/or Lancaster Research Stations and/or the Discovery Farms Program. An opportunity to discuss at length with farm managers and researchers the practices in place at each farm and research site. Includes introduction to UWEX pasture forage/nutrient management planning and budgeting software. Enroll Info: None",1 credit.,EXPERIMENTAL DESIGNS
SOIL SCI/​ENVIR ST  101,AGRONOMY 772,"
",1 credit.,APPLICATIONS IN ANOVA
ZOOLOGY/​BIOLOGY/​BOTANY  151,AGRONOMY 799,"
Special topics on issues relevant to Agronomy. Enroll Info: None",1-3 ,PRACTICUM IN AGRONOMY TEACHING
BIOCORE 381,AGRONOMY/​HORT  811,"
",3 ,BIOMETRICAL PROCEDURES IN PLANT BREEDING
BOTANY 100,AGRONOMY/​HORT  812,"
Crops and cropping systems of the tropics. The environmental requirements of the major crops, their botany, and how they fit into local farming systems will be emphasized. For students with broad interests in tropical agriculture and food production. Enroll Info: None",2 ,SELECTION THEORY FOR QUANTITATIVE TRAITS IN PLANTS
BOTANY/​BIOLOGY  130,AGRONOMY/​HORT  850,"
",3 ,ADVANCED PLANT BREEDING
ZOOLOGY/​BIOLOGY/​BOTANY  152,AGRONOMY 875,"
An internship under guidance of a faculty or instructional academic staff member in Agronomy and internship site supervisor. Enroll Info: Students are responsible for arranging the work and credits with the faculty or instructional academic staff member and the internship site supervisor.",1-4 ,SPECIAL TOPICS
GENETICS 466,AGRONOMY 920,"
",1 credit.,SEMINAR
467,AGRONOMY/​ATM OCN/​BOTANY/​ENTOM/​ENVIR ST/​F&W ECOL/​GEOG/​ZOOLOGY  953,"
Provides an area equivalency for courses taken on Madison Study Abroad Programs that do not equate to existing UW courses. Enroll Info: Current enrollment in a UW-Madison study abroad program",1-2 ,INTRODUCTION TO ECOLOGY RESEARCH AT UW-MADISON
BOTANY/​BIOLOGY  130,AGRONOMY/​GENETICS/​HORT  957,"
",1 credit.,SEMINAR-PLANT BREEDING
ZOOLOGY/​BIOLOGY/​BOTANY  151,AGRONOMY 990,"
A stepping stone between the classroom and society. Emphasizes discussion and activities for enhancing integration of diverse bodies of knowledge, critical thinking, and effective written and oral communication. Enroll Info: None",1-9 ,RESEARCH
ECON 101,A A E 419,"
Principles and practices in marketing systems for U.S. agricultural commodities. Vertical organization; forward contracts, future markets, agricultural options and price formation. Alternate management at the farm, processor, wholesale and retail levels. Enroll Info: None",3 ,STUDY ABROAD IN AGRICULTURAL AND APPLIED ECONOMICS
102,A A E/​ECON  421,"
",4 ,AGRICULTURAL FINANCE
111,A A E/​ECON/​INTL BUS  462,"
Cooperatives: Analysis of basic principles, structure and organization, legal bases, finance, history and role in U.S. economy. Different types and uses as tools in the U.S. and developing countries. Enroll Info: None",3 ,ECONOMIC DECISION ANALYSIS
A A E 215,A A E/​ECON  473,"
",3 ,LATIN AMERICAN ECONOMIC DEVELOPMENT
ECON 101,A A E/​ECON  474,"
With primary emphasis on the U.S., the course covers social, economic and biological dimensions of food systems. Using classroom and community experience, the course combines academic approaches with practitioner knowledge. A community project is required. Enroll Info: None",3 ,ECONOMIC GROWTH AND DEVELOPMENT IN SOUTHEAST ASIA
102,A A E/​ECON  477,"
",3 ,ECONOMIC PROBLEMS OF DEVELOPING AREAS
111,A A E 500,"
Microeconomic principles underlying the use of natural resources such as air, water, forests, fisheries, minerals and energy. These principles are applied in the examination of pollution control, preservation vs. development, deforestation, and other environmental issues. Enroll Info: None",3 ,AGRICULTURAL AND ECONOMIC DEVELOPMENT IN AFRICA
A A E 215,A A E/​REAL EST/​URB R PL  520,"
",3 ,SENIOR CAPSTONE EXPERIENCE
ECON 101,A A E/​ECON  526,"
Hunger and poverty in developing countries and the United States. Topics include: nutrition and health, population, food production and availability, and income distribution and employment. Enroll Info: None",4 ,COMMUNITY ECONOMIC ANALYSIS
111,A A E/​ECON/​F&W ECOL  531,"
",3 ,QUANTITATIVE METHODS IN AGRICULTURAL AND APPLIED ECONOMICS
STAT 301,A A E/​M H R  540,"
Addresses the process of globalization -- trade, international capital flows, labor migration and remittances, and aid -- from the perspective of developing economies and the development process. Enroll Info: None",3 ,NATURAL RESOURCE ECONOMICS
371,A A E/​CIV ENGR/​ENVIR ST/​URB R PL  561,"
",3 ,"INTELLECTUAL PROPERTY RIGHTS, INNOVATION AND TECHNOLOGY"
